oligos_id,total_per_sample
1167FF..pool716,550482
1167G..pool716,356186
1167GG..pool716,595482
1167H..pool716,287120
1167HH..pool716,432516
1167I..pool716,180560
1167II..pool716,390454
1167J..pool716,528334
1167JJ..pool716,233208
1167KK..pool716,448772
1167LL..pool716,600458
1167MM..pool716,389226
1167NN..pool716,391242
1167OO..pool716,401898
1167PP..pool716,419324
1167QQ..pool685,100506
1167RR..pool716,399004
1167SS..pool716,516074
1167TT..pool716,501908
1167U..pool716,494920
1167UU..pool716,354350
1167V..pool716,538838
1167VV..pool716,792368
1167W..pool716,501740
1167WW..pool716,675444
1167X..pool716,480882
1167XX..pool685,58012
1167Y..pool716,384668
1167YY..pool716,849224
1167Z..pool716,522336
1168A..pool759,36470
116A..pool537,110852
116B..pool537,97284
116C..pool537,135974
116D..pool537,141668
116E..pool553,746738
1170A..pool644,201560
1170B..pool644,326988
1170C..pool644,493916
1170D..pool716,588194
1170E..pool716,490980
1170F..pool716,331720
1170G..pool716,639244
1170H..pool716,547388
1170I..pool716,559188
1170J..pool717,328546
1170K..pool717,254986
1170L..pool717,249016
1170M..pool717,280936
1170N..pool717,283816
1170P..pool685,55464
1170Q..pool685,52732
1170R..pool685,96420
1170S..pool685,77438
1170T..pool740,68364
1171A..pool644,277802
1171AA..pool717,263818
1171B..pool717,312628
1171BB..pool685,83774
1171C..pool717,310034
1171CC..pool685,48324
1171D..pool717,118284
1171DD..pool685,106702
1171E..pool717,224586
1171EE..pool685,132130
1171F..pool717,199574
1171FF..pool779,29242
1171I..pool717,287366
1171J..pool717,295460
1171K..pool717,241624
1171L..pool717,109278
1171M..pool717,243452
1171N..pool717,187116
1171P..pool717,192672
1171Q..pool717,248826
1171R..pool717,259826
1171S..pool717,267022
1171T..pool717,319696
1171U..pool717,254392
1171V..pool717,205674
1171W..pool717,229648
1171X..pool717,277232
1171Y..pool717,231090
1171Z..pool717,235066
1173A..pool717,261242
1173B..pool717,365012
1173C..pool717,356932
1173D..pool717,251396
1173E..pool717,348424
1173F..pool717,266832
1173G..pool717,312614
1173H..pool717,326440
1173I..pool717,346684
1173J..pool717,336200
1173K..pool717,179142
1173L..pool717,375598
1173M..pool717,298820
1173N..pool717,373114
1173O..pool742,57332
1173P..pool717,406696
1173Q..pool717,292056
